branch_lengths,analyzed,average_roundness,average_area,a_ratio,thickness,branch_density,average_circularity,roundness_variance,image_filename
10.716,62,1.322,224.823,0.262,16.259,5.786,0.815,0.227,r05c02f04p01-ch1sk1fk1fl1.tiff
15.216,48,5.549,1228.083,0.138,7.552,3.155,0.397,24.599,r07c02f07p01-ch2sk1fk1fl1.tiff
8.962,69,1.307,224.377,0.212,17.995,7.699,0.857,0.718,r07c02f07p01-ch1sk1fk1fl1.tiff
16.530,37,6.578,1558.324,0.191,7.946,2.238,0.368,61.758,r05c02f04p01-ch2sk1fk1fl1.tiff
14.663,43,6.208,1278.465,0.237,7.543,2.932,0.316,18.215,r04c02f01p01-ch2sk1fk1fl1.tiff
16.245,44,5.252,1367.045,0.185,8.302,2.709,0.343,16.126,r07c02f03p01-ch2sk1fk1fl1.tiff
8.800,60,1.349,214.700,0.259,14.787,6.818,0.795,0.202,r07c02f03p01-ch1sk1fk1fl1.tiff
9.856,59,1.337,214.932,0.241,14.961,5.986,0.812,0.258,r04c02f01p01-ch1sk1fk1fl1.tiff
17.291,43,5.812,1502.116,0.116,8.433,2.487,0.366,64.195,r06c02f05p01-ch2sk1fk1fl1.tiff
10.973,68,1.375,223.382,0.304,15.047,6.197,0.787,0.248,r06c02f05p01-ch1sk1fk1fl1.tiff
