num_branches,branch_lengths,skeleton_length,most_branches,analyzed,average_roundness,average_area,a_ratio,average_perimeter,largest_perimeter,thickness,branch_density,average_branches,average_circularity,roundness_variance,average_fractal_dim,average_num_projections,num_neighbors,proj_length,most_neighbors,most_projections,image_filename
14.149,14.149,135.771,50,47,6.463,1034.702,0.154,274.539,1755.7240773439407,7.621,0.071,9.596,0.709,54.790,0.439,2.617,1.574,47.687,6,17,r04c11f05p01-ch2sk1fk1fl1.tiff
15.138,15.138,142.730,67,42,6.323,1178.952,0.155,284.723,1808.5941355228424,8.260,0.066,9.429,0.793,57.203,0.161,2.976,2.714,53.497,8,27,r02c10f09p01-ch2sk1fk1fl1.tiff
25.610,25.610,222.609,26,13,10.715,1757.000,0.372,476.506,1040.1706960201263,7.893,0.039,8.692,0.244,58.827,0.131,3.000,0.615,76.038,1,8,r04c04f06p01-ch2sk1fk1fl1.tiff
17.763,17.763,106.125,61,39,5.267,910.385,0.057,223.130,2701.922122836113,8.578,0.056,5.974,0.832,55.013,0.413,1.795,4.769,44.377,12,22,r02c03f06p01-ch2sk1fk1fl1.tiff
17.032,17.032,219.175,83,38,7.968,1934.763,0.098,413.673,3097.257255911827,8.827,0.059,12.868,0.284,58.588,0.240,4.000,1.789,75.592,7,27,r03c09f05p01-ch2sk1fk1fl1.tiff
14.581,14.581,120.030,34,56,6.544,932.589,0.205,266.441,1068.3128300905228,7.770,0.069,8.232,0.532,32.476,0.436,2.429,2.125,49.301,6,14,r02c11f01p01-ch2sk1fk1fl1.tiff
17.478,17.478,119.350,23,35,7.180,814.943,0.288,262.745,765.5777695178986,6.828,0.057,6.829,0.205,27.724,0.599,2.229,1.257,52.998,4,9,r04c03f02p01-ch2sk1fk1fl1.tiff
17.578,17.578,132.354,31,34,7.472,920.118,0.178,285.362,1193.4671604633331,6.952,0.057,7.529,0.348,40.413,0.758,2.353,1.353,56.760,4,11,r02c04f02p01-ch2sk1fk1fl1.tiff
19.460,19.460,160.429,60,41,7.986,1235.122,0.123,333.747,2171.613466858864,7.699,0.051,8.244,0.472,72.863,0.443,2.537,1.049,56.605,5,17,r03c07f08p01-ch2sk1fk1fl1.tiff
24.195,24.195,392.709,118,26,11.366,3827.423,0.160,693.203,3364.869512319565,9.746,0.041,16.231,0.539,117.105,0.312,6.654,1.538,152.385,5,49,r03c08f08p01-ch2sk1fk1fl1.tiff
19.530,19.530,169.256,48,27,8.682,1173.741,0.174,344.462,1439.5504180192947,6.935,0.051,8.667,0.274,56.533,0.567,2.926,0.370,72.865,1,14,r02c03f03p01-ch2sk1fk1fl1.tiff
19.064,19.064,178.727,78,24,8.682,1393.083,0.088,358.898,2908.629835247993,7.794,0.052,9.375,0.188,82.183,0.660,3.292,1.167,68.379,4,29,r04c04f03p01-ch2sk1fk1fl1.tiff
17.042,17.042,149.022,44,43,8.402,992.698,0.175,311.396,1353.1656427383425,6.661,0.059,8.744,0.226,57.991,0.648,2.558,1.023,60.952,2,14,r03c06f05p01-ch2sk1fk1fl1.tiff
16.583,16.583,159.881,58,39,7.016,1357.487,0.167,329.198,1853.782953619957,8.491,0.060,9.641,0.715,64.330,0.412,3.513,1.692,63.398,4,22,r04c10f08p01-ch2sk1fk1fl1.tiff
23.547,23.547,172.681,30,27,9.455,1204.593,0.204,361.231,1349.751431107521,6.976,0.042,7.333,0.212,76.553,0.370,2.704,0.741,76.945,3,12,r02c04f07p01-ch2sk1fk1fl1.tiff
18.661,18.661,98.637,23,28,5.286,743.179,0.164,211.130,992.1950831413268,7.534,0.054,5.286,0.398,24.116,0.432,1.857,1.000,34.580,4,9,r04c03f07p01-ch2sk1fk1fl1.tiff
15.305,15.305,194.449,80,44,7.656,1744.932,0.110,374.253,2642.1302750110626,8.974,0.065,12.705,0.432,77.878,0.416,4.273,1.318,70.149,4,34,r02c11f04p01-ch2sk1fk1fl1.tiff
14.687,14.687,189.638,85,34,7.411,1686.029,0.105,360.412,2314.733307480812,8.891,0.068,12.912,0.528,41.172,0.615,4.118,0.529,74.439,2,28,r04c10f07p01-ch2sk1fk1fl1.tiff
20.578,20.578,288.832,124,28,9.914,2525.929,0.109,540.719,4294.457386136055,8.745,0.049,14.036,0.658,175.607,0.091,4.786,1.429,92.610,3,44,r03c07f02p01-ch2sk1fk1fl1.tiff
24.761,24.761,157.853,39,32,9.387,1087.938,0.161,339.699,1769.3393046855929,6.892,0.040,6.375,0.403,61.167,0.316,2.406,0.906,61.219,2,14,r02c04f08p01-ch2sk1fk1fl1.tiff
18.482,18.482,109.735,27,32,6.147,808.750,0.154,240.638,1290.5382262468338,7.370,0.054,5.938,0.342,28.844,0.543,1.906,1.125,41.692,4,10,r04c03f08p01-ch2sk1fk1fl1.tiff
17.965,17.965,146.984,33,33,8.468,1029.636,0.141,317.850,1511.2976738214493,7.005,0.056,8.182,0.255,55.199,0.661,3.000,1.091,57.833,3,14,r04c05f04p01-ch2sk1fk1fl1.tiff
20.581,20.581,173.358,48,26,9.786,1207.269,0.144,361.240,1810.6113797426224,6.964,0.049,8.423,0.205,49.718,0.759,3.038,1.154,68.154,4,18,r02c02f04p01-ch2sk1fk1fl1.tiff
21.227,21.227,274.441,76,28,9.360,2644.179,0.166,525.360,2539.66223859787,9.635,0.047,12.929,0.308,89.793,0.099,4.929,1.643,95.756,5,27,r03c08f07p01-ch2sk1fk1fl1.tiff
16.195,16.195,103.452,38,49,6.312,750.694,0.143,231.045,1354.479350924492,7.256,0.062,6.388,0.553,40.883,0.578,2.000,1.653,35.562,6,13,r02c10f03p01-ch2sk1fk1fl1.tiff
18.301,18.301,130.089,31,37,7.333,888.649,0.180,276.467,1168.4133352041245,6.831,0.055,7.108,0.548,40.017,0.536,2.027,1.622,56.193,5,10,r02c02f01p01-ch2sk1fk1fl1.tiff
20.277,20.277,126.558,13,29,8.256,925.000,0.246,287.509,816.5655757188797,7.309,0.049,6.241,0.240,24.634,0.884,2.414,0.897,68.288,3,7,r04c05f01p01-ch2sk1fk1fl1.tiff
16.351,16.351,141.812,73,52,6.171,1169.788,0.084,285.575,2347.353583931923,8.249,0.061,8.673,0.552,37.439,0.426,2.404,2.519,48.452,7,27,r03c07f07p01-ch2sk1fk1fl1.tiff
14.851,14.851,133.973,97,47,6.705,1096.319,0.050,277.554,3544.318212628365,8.183,0.067,9.021,0.483,75.284,0.247,2.383,1.532,49.655,4,32,r04c10f02p01-ch2sk1fk1fl1.tiff
21.565,21.565,74.451,20,42,5.679,504.190,0.120,172.660,864.7493425607681,6.772,0.046,3.452,0.711,36.624,0.334,1.167,2.762,21.990,8,9,r02c05f05p01-ch2sk1fk1fl1.tiff
21.505,21.505,116.966,27,41,6.528,919.122,0.278,261.606,719.2518683671951,7.858,0.047,5.439,0.453,17.900,0.698,2.024,1.098,42.397,5,8,r04c02f05p01-ch2sk1fk1fl1.tiff
14.839,14.839,142.738,55,42,6.839,1151.976,0.152,297.105,1716.0844695568085,8.071,0.067,9.619,0.439,66.015,0.537,3.167,1.667,49.171,5,22,r02c10f06p01-ch2sk1fk1fl1.tiff
20.788,20.788,141.185,24,24,6.728,1096.750,0.191,289.250,1194.8052520751953,7.768,0.048,6.792,0.688,34.878,0.337,2.208,1.417,44.382,4,8,r04c04f09p01-ch2sk1fk1fl1.tiff
16.338,16.338,107.277,41,53,4.746,911.189,0.177,220.669,1076.5382256507874,8.494,0.061,6.566,0.706,28.158,0.263,1.943,3.792,34.101,8,14,r03c08f02p01-ch2sk1fk1fl1.tiff
20.848,20.848,155.282,46,29,8.496,1142.483,0.130,328.915,1544.354459524155,7.357,0.048,7.448,0.297,58.461,0.613,2.690,0.828,82.283,2,15,r02c03f09p01-ch2sk1fk1fl1.tiff
20.041,20.041,180.372,75,30,8.377,1380.167,0.095,362.632,2858.539437890053,7.652,0.050,9.000,0.480,83.833,0.521,2.967,1.600,57.332,6,29,r03c02f05p01-ch2sk1fk1fl1.tiff
19.441,19.441,290.612,168,39,7.932,2876.897,0.089,509.805,4825.43508720398,9.899,0.051,14.949,0.446,139.685,0.166,5.538,2.769,98.345,6,64,r04c08f02p01-ch2sk1fk1fl1.tiff
18.702,18.702,165.513,45,40,6.359,1471.750,0.175,320.661,1516.4276155233383,8.892,0.053,8.850,0.758,37.905,0.276,3.200,1.625,57.696,5,14,r02c07f03p01-ch2sk1fk1fl1.tiff
16.765,16.765,112.941,24,38,6.873,736.263,0.181,242.502,976.697606563568,6.519,0.060,6.737,0.273,25.300,0.751,2.395,1.237,45.136,3,9,r03c04f09p01-ch2sk1fk1fl1.tiff
18.125,18.125,165.627,50,29,8.360,1213.517,0.151,341.405,1529.089523434639,7.327,0.055,9.138,0.448,49.160,0.476,3.172,1.241,56.981,3,21,r03c05f01p01-ch2sk1fk1fl1.tiff
16.626,16.626,260.287,142,29,9.772,2239.724,0.093,493.642,4253.192447423935,8.605,0.060,15.655,0.309,138.499,0.506,4.552,2.138,84.088,6,35,r04c07f07p01-ch2sk1fk1fl1.tiff
16.521,16.521,108.660,31,26,5.328,965.385,0.185,244.685,1154.17069542408,8.884,0.061,6.577,0.402,23.046,0.455,2.346,1.654,44.299,7,13,r03c10f02p01-ch2sk1fk1fl1.tiff
17.640,17.640,163.259,58,51,7.226,1277.157,0.110,320.933,1961.6824493408203,7.823,0.057,9.255,0.455,65.735,0.383,2.922,3.314,61.183,7,17,r02c08f06p01-ch2sk1fk1fl1.tiff
17.976,17.976,121.427,37,49,5.300,1081.061,0.163,250.126,1288.0701900720596,8.903,0.056,6.755,0.699,32.182,0.481,2.347,2.306,48.108,7,16,r02c07f06p01-ch2sk1fk1fl1.tiff
16.916,16.916,154.359,78,32,6.284,1255.750,0.087,294.503,2683.7526383399963,8.135,0.059,9.125,0.782,65.117,0.232,3.219,1.312,50.742,4,29,r04c08f07p01-ch2sk1fk1fl1.tiff
21.763,21.763,130.579,21,24,8.359,907.208,0.240,298.989,949.653889298439,6.948,0.046,6.000,0.377,43.925,0.439,1.875,0.667,60.087,2,6,r03c03f08p01-ch2sk1fk1fl1.tiff
17.690,17.690,190.611,59,40,8.443,1546.150,0.177,389.012,1690.4103709459305,8.112,0.057,10.775,0.388,82.490,0.296,3.625,2.450,67.642,6,20,r02c08f03p01-ch2sk1fk1fl1.tiff
14.892,14.892,125.592,38,30,6.824,966.433,0.195,275.968,1146.111820101738,7.695,0.067,8.433,0.366,34.551,0.511,2.267,1.133,57.720,4,9,r03c10f07p01-ch2sk1fk1fl1.tiff
17.736,17.736,145.582,44,48,6.521,1113.354,0.161,289.537,1688.403231024742,7.648,0.056,8.208,0.629,50.530,0.545,2.792,1.500,48.487,6,15,r04c07f02p01-ch2sk1fk1fl1.tiff
